Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|P03876|AI2M_YEAST,1,854,0.00117096018735363
sp|P08518|RPB2_YEAST,2,1224,0.0016339869281045752
sp|P06633|HIS7_YEAST,4,220,0.01818181818181818
sp|P01123|YPT1_YEAST,1,206,0.0048543689320388345
sp|P04147|PABP_YEAST,4,577,0.006932409012131715
sp|P07259|PYR1_YEAST,7,2214,0.0031616982836495033
sp|P05756|RS13_YEAST,3,151,0.019867549668874173
sp|P06773|DCTD_YEAST,1,312,0.003205128205128205
sp|P09064|IF2B_YEAST,2,285,0.007017543859649123
sp|P00830|ATPB_YEAST,2,511,0.003913894324853229
sp|P09624|DLDH_YEAST,4,499,0.008016032064128256
sp|P07285|TRPD_YEAST,2,380,0.005263157894736842
sp|P04050|RPB1_YEAST,3,1733,0.0017311021350259665
sp|P00330|ADH1_YEAST,4,348,0.011494252873563218
sp|P00498|HIS1_YEAST,1,297,0.003367003367003367
sp|P07278|KAPR_YEAST,1,416,0.002403846153846154
sp|P00925|ENO2_YEAST,11,437,0.02517162471395881
sp|P05030|PMA1_YEAST,3,918,0.0032679738562091504
sp|P01097|ATIF_YEAST,2,85,0.023529411764705882
sp|P06786|TOP2_YEAST,2,1428,0.0014005602240896359
sp|P02994|EF1A_YEAST,11,458,0.024017467248908297
sp|P09436|SYIC_YEAST,2,1072,0.0018656716417910447
sp|P07244|PUR2_YEAST,3,802,0.003740648379052369
sp|P00950|PMG1_YEAST,4,247,0.016194331983805668
sp|P07149|FAS1_YEAST,8,2051,0.0039005363237445147
sp|P09440|C1TM_YEAST,2,975,0.0020512820512820513
sp|P00958|SYMC_YEAST,4,751,0.005326231691078562
sp|P00360|G3P1_YEAST,2,332,0.006024096385542169
sp|P06168|ILV5_YEAST,7,395,0.017721518987341773
sp|P03965|CARB_YEAST,5,1118,0.004472271914132379
sp|P07702|LYS2_YEAST,5,1392,0.0035919540229885057
sp|P07284|SYSC_YEAST,4,462,0.008658008658008658
sp|P07273|TFS2_YEAST,1,309,0.003236245954692557
sp|P04801|SYTC_YEAST,6,734,0.008174386920980926
sp|P07342|ILVB_YEAST,4,687,0.005822416302765648
sp|P06169|PDC1_YEAST,8,563,0.014209591474245116
sp|P00931|TRP_YEAST,2,707,0.002828854314002829
sp|P07283|PMM_YEAST,1,254,0.003937007874015748
sp|P07806|SYV_YEAST,4,1104,0.0036231884057971015
sp|P07991|OAT_YEAST,1,424,0.0023584905660377358
sp|P02557|TBB_YEAST,1,457,0.002188183807439825
sp|P05750|RS3_YEAST,4,240,0.016666666666666666
sp|P00560|PGK_YEAST,9,416,0.021634615384615384
sp|P19073|CDC42_YEAST,1,191,0.005235602094240838
sp|P15424|MS116_YEAST,1,664,0.0015060240963855422
sp|P12962|CAF20_YEAST,1,161,0.006211180124223602
sp|P10080|SSBP1_YEAST,1,294,0.003401360544217687
sp|P12754|EI2BD_YEAST,1,651,0.0015360983102918587
sp|P10592|HSP72_YEAST,3,639,0.004694835680751174
sp|P19658|EXO70_YEAST,1,623,0.0016051364365971107
sp|P12684|HMDH2_YEAST,1,1045,0.0009569377990430622
sp|P10591|HSP71_YEAST,2,642,0.003115264797507788
sp|P12753|RAD50_YEAST,1,1312,0.0007621951219512195
sp|P16522|CDC23_YEAST,1,626,0.001597444089456869
sp|P15303|SEC23_YEAST,4,768,0.005208333333333333
sp|P17157|PHO85_YEAST,1,305,0.003278688524590164
sp|P16474|GRP78_YEAST,2,682,0.002932551319648094
sp|P10862|RAD18_YEAST,2,487,0.004106776180698152
sp|P18899|DDR48_YEAST,1,430,0.002325581395348837
sp|P16862|PFKA2_YEAST,6,959,0.006256517205422315
sp|P13517|CAPZB_YEAST,3,287,0.010452961672473868
sp|P19659|MED15_YEAST,2,1081,0.0018501387604070306
sp|P19882|HSP60_YEAST,3,572,0.005244755244755245
sp|P19454|CSK22_YEAST,1,339,0.0029498525073746312
sp|P14906|SEC63_YEAST,1,663,0.0015082956259426848
sp|P17883|SKI3_YEAST,1,1432,0.0006983240223463687
sp|P16120|THRC_YEAST,2,514,0.0038910505836575876
sp|P18900|COQ1_YEAST,1,473,0.0021141649048625794
sp|P19735|PRP6_YEAST,1,899,0.0011123470522803114
sp|P12383|PDR1_YEAST,1,1068,0.0009363295880149813
sp|P17891|CLC1_YEAST,1,233,0.004291845493562232
sp|P10363|PRI1_YEAST,1,409,0.0024449877750611247
sp|P17558|RTPT_YEAST,1,318,0.0031446540880503146
sp|P17709|HXKG_YEAST,3,500,0.006
sp|P12945|NAT1_YEAST,1,854,0.00117096018735363
sp|P11353|HEM6_YEAST,1,328,0.003048780487804878
sp|P12695|ODP2_YEAST,2,482,0.004149377593360996
sp|P12709|G6PI_YEAST,2,554,0.0036101083032490976
sp|P14772|BPT1_YEAST,1,1559,0.0006414368184733803
sp|P10964|RPA1_YEAST,3,1664,0.0018028846153846155
sp|P12687|RM02_YEAST,1,371,0.0026954177897574125
sp|P17890|RPC7_YEAST,1,251,0.00398406374501992
sp|P11746|MCM1_YEAST,1,286,0.0034965034965034965
sp|P19262|ODO2_YEAST,2,463,0.004319654427645789
sp|P16550|APA1_YEAST,3,321,0.009345794392523364
sp|P14832|CYPH_YEAST,2,162,0.012345679012345678
sp|P19812|UBR1_YEAST,1,1950,0.0005128205128205128
sp|P10622|RLA3_YEAST,1,106,0.009433962264150943
sp|P19881|PNPP_YEAST,1,312,0.003205128205128205
sp|P13298|PYRE_YEAST,2,226,0.008849557522123894
sp|P10823|GPA2_YEAST,1,449,0.0022271714922048997
sp|P18410|SPO7_YEAST,1,259,0.003861003861003861
sp|P11075|SEC7_YEAST,4,2009,0.001991040318566451
sp|P13433|RPOM_YEAST,2,1351,0.0014803849000740192
sp|P10614|CP51_YEAST,1,530,0.0018867924528301887
sp|P15179|SYDM_YEAST,2,658,0.00303951367781155
sp|P14907|NSP1_YEAST,1,823,0.001215066828675577
sp|P10081|IF4A_YEAST,1,395,0.002531645569620253
sp|P10507|MPPB_YEAST,3,462,0.006493506493506494
sp|P18239|ADT2_YEAST,1,318,0.0031446540880503146
sp|P19524|MYO2_YEAST,5,1574,0.0031766200762388818
sp|P19158|IRA2_YEAST,2,3079,0.0006495615459564793
sp|P15019|TAL1_YEAST,2,335,0.005970149253731343
sp|P17536|TPM1_YEAST,1,199,0.005025125628140704
sp|P15624|SYFB_YEAST,4,595,0.0067226890756302525
sp|P11914|MPPA_YEAST,1,482,0.002074688796680498
sp|P16140|VATB_YEAST,2,517,0.0038684719535783366
sp|P13382|DPOA_YEAST,2,1468,0.0013623978201634877
sp|P14843|AROF_YEAST,1,370,0.002702702702702703
sp|P16451|ODPX_YEAST,1,410,0.0024390243902439024
sp|P15180|SYKC_YEAST,3,591,0.005076142131979695
sp|P11745|RNA1_YEAST,2,407,0.004914004914004914
sp|P19955|RT31_YEAST,1,123,0.008130081300813009
sp|P19097|FAS2_YEAST,11,1887,0.005829358770535241
sp|P17106|CBF1_YEAST,1,351,0.002849002849002849
sp|P19657|PMA2_YEAST,1,947,0.0010559662090813093
sp|P13663|DHAS_YEAST,2,365,0.005479452054794521
sp|P10863|TIR1_YEAST,1,254,0.003937007874015748
sp|P16649|TUP1_YEAST,3,713,0.004207573632538569
sp|P17076|RL8A_YEAST,1,256,0.00390625
sp|P19414|ACON_YEAST,5,778,0.006426735218508998
sp|P14742|GFA1_YEAST,3,717,0.0041841004184100415
sp|P11938|RAP1_YEAST,1,827,0.0012091898428053204
sp|P15891|ABP1_YEAST,3,592,0.005067567567567568
sp|P16603|NCPR_YEAST,2,691,0.002894356005788712
sp|P16521|EF3A_YEAST,8,1044,0.007662835249042145
sp|P16467|PDC5_YEAST,4,563,0.007104795737122558
sp|P16387|ODPA_YEAST,3,420,0.007142857142857143
sp|P12612|TCPA_YEAST,3,559,0.005366726296958855
sp|P15625|SYFA_YEAST,1,503,0.0019880715705765406
sp|P15565|TRM1_YEAST,3,570,0.005263157894736842
sp|P14164|ABF1_YEAST,1,731,0.0013679890560875513
sp|P17255|VATA_YEAST,10,1071,0.009337068160597572
sp|P13186|KIN2_YEAST,2,1147,0.0017436791630340018
sp|P13393|TBP_YEAST,1,240,0.004166666666666667
sp|P15700|KCY_YEAST,1,204,0.004901960784313725
sp|P18562|UPP_YEAST,1,216,0.004629629629629629
sp|P11491|PPB_YEAST,2,566,0.0035335689045936395
sp|P14540|ALF_YEAST,10,359,0.027855153203342618
sp|P14126|RL3_YEAST,5,387,0.012919896640826873
sp|P17555|CAP_YEAST,2,526,0.0038022813688212928
sp|P22216|RAD53_YEAST,1,821,0.001218026796589525
sp|P27637|BUD14_YEAST,2,709,0.0028208744710860366
sp|P25337|BUD31_YEAST,1,157,0.006369426751592357
sp|P29547|EF1G1_YEAST,1,415,0.0024096385542168677
sp|P22202|HSP74_YEAST,1,642,0.001557632398753894
sp|P25299|RNA15_YEAST,1,296,0.0033783783783783786
sp|P20795|VPS33_YEAST,1,691,0.001447178002894356
sp|P24000|RL24B_YEAST,1,155,0.0064516129032258064
sp|P25297|PHO84_YEAST,2,587,0.0034071550255536627
sp|P20424|SRP54_YEAST,2,541,0.0036968576709796672
sp|P25355|CTR86_YEAST,1,563,0.0017761989342806395
sp|P23287|PP2B1_YEAST,1,553,0.0018083182640144665
sp|P26784|RL16A_YEAST,1,199,0.005025125628140704
sp|P25454|RAD51_YEAST,1,400,0.0025
sp|P25298|RNA14_YEAST,2,677,0.0029542097488921715
sp|P21705|DAL82_YEAST,1,255,0.00392156862745098
sp|P25694|CDC48_YEAST,2,835,0.0023952095808383233
sp|P23180|AIM17_YEAST,2,465,0.004301075268817204
sp|P10869|AK_YEAST,2,527,0.003795066413662239
sp|P25343|RV161_YEAST,1,265,0.0037735849056603774
sp|P29509|TRXB1_YEAST,1,319,0.003134796238244514
sp|P21825|SEC62_YEAST,1,274,0.0036496350364963502
sp|P22943|HSP12_YEAST,1,109,0.009174311926605505
sp|P20676|NUP1_YEAST,1,1076,0.0009293680297397769
sp|P22203|VATE_YEAST,1,233,0.004291845493562232
sp|P28737|MSP1_YEAST,1,362,0.0027624309392265192
sp|P20447|DBP3_YEAST,1,523,0.0019120458891013384
sp|P25389|KCC4_YEAST,1,1037,0.0009643201542912247
sp|P25626|IMG1_YEAST,1,169,0.005917159763313609
sp|P25558|BUD3_YEAST,1,1636,0.0006112469437652812
sp|P20051|PYRC_YEAST,1,364,0.0027472527472527475
sp|P22217|TRX1_YEAST,1,103,0.009708737864077669
sp|P24784|DBP1_YEAST,1,617,0.0016207455429497568
sp|P29366|BEM1_YEAST,1,551,0.0018148820326678765
sp|P24309|DBR1_YEAST,1,405,0.0024691358024691358
sp|P29340|UBCX_YEAST,1,183,0.00546448087431694
sp|P25349|YCP4_YEAST,1,247,0.004048582995951417
sp|P24004|PEX1_YEAST,1,1043,0.0009587727708533077
sp|P23503|NAR1_YEAST,1,491,0.002036659877800407
sp|P22147|XRN1_YEAST,3,1528,0.001963350785340314
sp|P28273|OPLA_YEAST,1,1286,0.0007776049766718507
sp|P21242|PSA7_YEAST,2,288,0.006944444444444444
sp|P21524|RIR1_YEAST,2,888,0.0022522522522522522
sp|P25045|LCB1_YEAST,1,558,0.0017921146953405018
sp|P25375|PRTD_YEAST,1,712,0.0014044943820224719
sp|P21147|ACO1_YEAST,2,510,0.00392156862745098
sp|P25555|GBP2_YEAST,2,427,0.00468384074941452
sp|P21269|CCA1_YEAST,1,546,0.0018315018315018315
sp|P26754|RFA2_YEAST,1,273,0.003663003663003663
sp|P20448|DBP4_YEAST,1,770,0.0012987012987012987
sp|P22515|UBA1_YEAST,1,1024,0.0009765625
sp|P23615|SPT6_YEAST,1,1451,0.0006891798759476223
sp|P27697|COQ8_YEAST,1,501,0.001996007984031936
sp|P25385|BOS1_YEAST,1,244,0.004098360655737705
sp|P25580|PBN1_YEAST,1,416,0.002403846153846154
sp|P25588|MRC1_YEAST,1,1096,0.0009124087591240876
sp|P29703|FNTA_YEAST,1,316,0.0031645569620253164
sp|P28240|ACEA_YEAST,1,557,0.0017953321364452424
sp|P28789|HEM3_YEAST,1,327,0.0030581039755351682
sp|P21264|PUR6_YEAST,3,571,0.005253940455341506
sp|P25386|USO1_YEAST,2,1790,0.0011173184357541898
sp|P29496|MCM5_YEAST,1,775,0.0012903225806451613
sp|P29704|FDFT_YEAST,3,444,0.006756756756756757
sp|P20967|ODO1_YEAST,1,1014,0.0009861932938856016
sp|O74700|TIM9_YEAST,1,87,0.011494252873563218
sp|P21965|MCK1_YEAST,1,375,0.0026666666666666666
sp|P25374|NFS1_YEAST,2,497,0.004024144869215292
sp|P28241|IDH2_YEAST,2,369,0.005420054200542005
sp|P22696|ESS1_YEAST,1,170,0.0058823529411764705
sp|P22276|RPC2_YEAST,1,1149,0.0008703220191470844
sp|P25087|ERG6_YEAST,1,383,0.0026109660574412533
sp|P25369|LSB5_YEAST,1,354,0.002824858757062147
sp|P20084|RM33_YEAST,1,86,0.011627906976744186
sp|P23639|PSA2_YEAST,1,250,0.004
sp|P28743|KIP2_YEAST,1,706,0.00141643059490085
sp|P21951|DPOE_YEAST,1,2222,0.00045004500450045
sp|P22133|MDHC_YEAST,1,377,0.002652519893899204
sp|P25378|RHEB_YEAST,1,209,0.004784688995215311
sp|P25644|PAT1_YEAST,2,796,0.002512562814070352
sp|P25340|ERG4_YEAST,1,473,0.0021141649048625794
sp|P25332|RBSK_YEAST,1,333,0.003003003003003003
sp|P29469|MCM2_YEAST,3,868,0.0034562211981566822
sp|P23254|TKT1_YEAST,2,680,0.0029411764705882353
sp|P22516|CHL1_YEAST,2,861,0.0023228803716608595
sp|P22211|NPR1_YEAST,1,790,0.0012658227848101266
sp|P20095|PRP2_YEAST,1,876,0.001141552511415525
sp|P28274|URA7_YEAST,3,579,0.0051813471502590676
sp|P22336|RFA1_YEAST,3,621,0.004830917874396135
sp|P25847|MSH2_YEAST,2,964,0.002074688796680498
sp|P25040|TSR4_YEAST,2,408,0.004901960784313725
sp|P20459|IF2A_YEAST,3,304,0.009868421052631578
sp|P27692|SPT5_YEAST,1,1063,0.0009407337723424271
sp|P25642|IMG2_YEAST,1,146,0.00684931506849315
sp|P21954|IDHP_YEAST,2,428,0.004672897196261682
sp|P25719|CYPC_YEAST,1,182,0.005494505494505495
sp|P24276|SSD1_YEAST,3,1250,0.0024
sp|P25567|SRO9_YEAST,1,434,0.002304147465437788
sp|P23642|VAN1_YEAST,2,535,0.003738317757009346
sp|P26786|RS7A_YEAST,2,190,0.010526315789473684
sp|P25441|RPC4_YEAST,2,422,0.004739336492890996
sp|P20081|FKBP_YEAST,1,114,0.008771929824561403
sp|P24279|MCM3_YEAST,1,971,0.0010298661174047373
sp|P22517|KCC2_YEAST,1,447,0.0022371364653243847
sp|P23776|EXG1_YEAST,2,448,0.004464285714285714
sp|P25296|CANB_YEAST,1,175,0.005714285714285714
sp|P22138|RPA2_YEAST,1,1203,0.0008312551953449709
sp|P28319|CWP1_YEAST,1,239,0.0041841004184100415
sp|P21375|OSM1_YEAST,4,501,0.007984031936127744
sp|P21538|REB1_YEAST,2,810,0.0024691358024691358
sp|P24783|DBP2_YEAST,4,546,0.007326007326007326
sp|P21576|VPS1_YEAST,3,704,0.004261363636363636
sp|P28777|AROC_YEAST,3,376,0.007978723404255319
sp|P26637|SYLC_YEAST,3,1090,0.0027522935779816515
sp|P25617|YCQ6_YEAST,1,290,0.0034482758620689655
sp|P23201|SPA2_YEAST,3,1466,0.0020463847203274215
sp|P22146|GAS1_YEAST,2,559,0.0035778175313059034
sp|P29952|MPI_YEAST,3,429,0.006993006993006993
sp|P25443|RS2_YEAST,3,254,0.011811023622047244
sp|P22137|CLH_YEAST,3,1653,0.0018148820326678765
sp|P26783|RS5_YEAST,5,225,0.022222222222222223
sp|P32767|KA122_YEAST,1,1081,0.0009250693802035153
sp|P32179|MET22_YEAST,1,357,0.0028011204481792717
sp|P35193|ATG19_YEAST,1,415,0.0024096385542168677
sp|P38009|PUR92_YEAST,1,592,0.0016891891891891893
sp|P35209|SPT21_YEAST,1,758,0.0013192612137203166
sp|P39692|MET10_YEAST,1,1035,0.000966183574879227
sp|P39538|UBP12_YEAST,1,1254,0.0007974481658692185
sp|P38138|GLU2A_YEAST,3,954,0.0031446540880503146
sp|P36161|NU133_YEAST,1,1157,0.000864304235090752
sp|P36008|EF1G2_YEAST,1,412,0.0024271844660194173
sp|P32589|HSP7F_YEAST,1,693,0.001443001443001443
sp|P39705|NUP60_YEAST,1,539,0.0018552875695732839
sp|P38814|SBE22_YEAST,2,852,0.002347417840375587
sp|P38904|SPP41_YEAST,1,1435,0.0006968641114982578
sp|P38193|PP4R2_YEAST,1,441,0.0022675736961451248
sp|P36088|FRMSR_YEAST,1,180,0.005555555555555556
sp|P38968|SEC31_YEAST,3,1273,0.002356637863315004
sp|P38244|M28P1_YEAST,2,976,0.0020491803278688526
sp|P35194|UTP20_YEAST,3,2493,0.0012033694344163659
sp|P36114|YKR18_YEAST,2,725,0.002758620689655172
sp|P39990|SNU13_YEAST,1,126,0.007936507936507936
sp|P33298|PRS6B_YEAST,1,428,0.002336448598130841
sp|P32458|CDC11_YEAST,1,415,0.0024096385542168677
sp|P39533|ACON2_YEAST,1,789,0.0012674271229404308
sp|P32335|MSS51_YEAST,1,436,0.0022935779816513763
sp|P38181|NU170_YEAST,2,1502,0.0013315579227696406
sp|P38966|YD089_YEAST,1,869,0.0011507479861910242
sp|P33442|RS3A1_YEAST,1,255,0.00392156862745098
sp|P38042|CDC27_YEAST,1,758,0.0013192612137203166
sp|P38737|ECM29_YEAST,1,1868,0.0005353319057815846
sp|P36080|RRP14_YEAST,1,434,0.002304147465437788
sp|P31539|HS104_YEAST,1,908,0.0011013215859030838
sp|P32259|MED16_YEAST,1,974,0.001026694045174538
sp|P32319|VPS10_YEAST,4,1579,0.00253324889170361
sp|P38985|SRP14_YEAST,1,146,0.00684931506849315
sp|P39935|IF4F1_YEAST,2,952,0.0021008403361344537
sp|P32830|TIM12_YEAST,1,109,0.009174311926605505
sp|P39743|RV167_YEAST,1,482,0.002074688796680498
sp|P32380|SP110_YEAST,3,944,0.0031779661016949155
sp|P32523|PRP19_YEAST,1,503,0.0019880715705765406
sp|P38261|EXO84_YEAST,2,753,0.0026560424966799467
sp|P38759|VPS29_YEAST,1,282,0.0035460992907801418
sp|P32468|CDC12_YEAST,2,407,0.004914004914004914
sp|P38167|ECM21_YEAST,1,1117,0.0008952551477170994
sp|P32524|PRP21_YEAST,1,280,0.0035714285714285713
sp|P32628|RAD23_YEAST,2,398,0.005025125628140704
sp|P38089|PP2C4_YEAST,1,393,0.002544529262086514
sp|P36154|AIM29_YEAST,2,155,0.012903225806451613
sp|P38314|SDS24_YEAST,2,527,0.003795066413662239
sp|P38555|YPT31_YEAST,1,223,0.004484304932735426
sp|P32590|HSP79_YEAST,2,693,0.002886002886002886
sp|P38086|RDH54_YEAST,3,958,0.003131524008350731
sp|P39936|IF4F2_YEAST,2,914,0.002188183807439825
sp|P32497|EIF3C_YEAST,3,812,0.003694581280788177
sp|P38328|ARPC1_YEAST,1,384,0.0026041666666666665
sp|P38264|PHO88_YEAST,1,188,0.005319148936170213
sp|P31380|FUN30_YEAST,1,1131,0.0008841732979664014
sp|P38687|SRP68_YEAST,1,599,0.001669449081803005
sp|P32861|UGPA1_YEAST,1,499,0.002004008016032064
sp|P38231|FMP23_YEAST,1,175,0.005714285714285714
sp|P38930|CSK2C_YEAST,1,258,0.003875968992248062
sp|P32644|ECM32_YEAST,1,1121,0.0008920606601248885
sp|P38886|RPN10_YEAST,1,268,0.0037313432835820895
sp|P35729|NU120_YEAST,1,1037,0.0009643201542912247
sp|P32558|SPT16_YEAST,3,1035,0.002898550724637681
sp|P38869|SVP26_YEAST,2,228,0.008771929824561403
sp|P39685|PO152_YEAST,3,1337,0.002243829468960359
sp|P36136|SHB17_YEAST,2,271,0.007380073800738007
sp|P36046|MIA40_YEAST,1,403,0.0024813895781637717
sp|P38249|EIF3A_YEAST,3,964,0.0031120331950207467
sp|P32342|SRP21_YEAST,1,167,0.005988023952095809
sp|P36017|VPS21_YEAST,1,210,0.004761904761904762
sp|P32571|UBP4_YEAST,1,926,0.0010799136069114472
sp|P36152|DRE2_YEAST,2,348,0.005747126436781609
sp|P32499|NUP2_YEAST,1,720,0.001388888888888889
sp|P38149|DUG2_YEAST,1,878,0.0011389521640091116
sp|P31787|ACBP_YEAST,1,87,0.011494252873563218
sp|P38218|POA1_YEAST,1,177,0.005649717514124294
sp|P32474|EUG1_YEAST,1,517,0.0019342359767891683
sp|P38862|ATG7_YEAST,1,630,0.0015873015873015873
sp|P38811|TRA1_YEAST,2,3744,0.0005341880341880342
sp|P38427|TSL1_YEAST,1,1098,0.0009107468123861566
sp|P35184|SQT1_YEAST,1,431,0.002320185614849188
sp|P33327|DHE2_YEAST,1,1092,0.0009157509157509158
sp|P38631|FKS1_YEAST,1,1876,0.0005330490405117271
sp|P32578|SIP1_YEAST,1,815,0.001226993865030675
sp|P38629|RFC3_YEAST,1,340,0.0029411764705882353
sp|P38931|SSN2_YEAST,2,1420,0.0014084507042253522
sp|P38180|YBI1_YEAST,1,368,0.002717391304347826
sp|P31382|PMT2_YEAST,1,759,0.0013175230566534915
sp|P38792|RRP4_YEAST,1,359,0.002785515320334262
sp|P38274|HSL7_YEAST,1,827,0.0012091898428053204
sp|P36029|TPO5_YEAST,1,618,0.0016181229773462784
sp|P37254|PABS_YEAST,1,787,0.0012706480304955528
sp|P39719|FLC2_YEAST,1,783,0.001277139208173691
sp|P31377|STX8_YEAST,1,255,0.00392156862745098
sp|P31412|VATC_YEAST,1,392,0.002551020408163265
sp|P32873|BEM3_YEAST,1,1128,0.0008865248226950354
sp|P39111|VATF_YEAST,1,118,0.00847457627118644
sp|P34167|IF4B_YEAST,1,436,0.0022935779816513763
sp|P33307|CSE1_YEAST,1,960,0.0010416666666666667
sp|P32792|YHH7_YEAST,1,385,0.0025974025974025974
sp|P39993|GEA2_YEAST,1,1459,0.0006854009595613434
sp|P38144|ISW1_YEAST,1,1129,0.0008857395925597874
sp|P31378|NTH1_YEAST,1,399,0.002506265664160401
sp|P32906|MNS1_YEAST,1,549,0.0018214936247723133
sp|P39714|BDH1_YEAST,1,382,0.002617801047120419
sp|P36120|DBP7_YEAST,1,742,0.0013477088948787063
sp|P38859|DNA2_YEAST,1,1522,0.000657030223390276
sp|P39940|RSP5_YEAST,1,809,0.0012360939431396785
sp|P33338|SLA2_YEAST,2,968,0.002066115702479339
sp|P33448|TOM6_YEAST,1,61,0.01639344262295082
sp|P31688|TPS2_YEAST,1,896,0.0011160714285714285
sp|P38732|EFM1_YEAST,1,585,0.0017094017094017094
sp|P32473|ODPB_YEAST,1,366,0.00273224043715847
sp|P39729|RBG1_YEAST,1,369,0.0027100271002710027
sp|P30902|ATP7_YEAST,1,174,0.005747126436781609
sp|P33324|YKJ1_YEAST,1,310,0.0032258064516129032
sp|P38353|SSH1_YEAST,1,490,0.0020408163265306124
sp|P37303|GLY1_YEAST,1,387,0.002583979328165375
sp|P35719|MRP8_YEAST,1,219,0.0045662100456621
sp|P32806|GYP6_YEAST,1,458,0.002183406113537118
sp|P31374|PSK1_YEAST,2,1356,0.0014749262536873156
sp|P38748|ETP1_YEAST,1,585,0.0017094017094017094
